study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.started,study_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
18,0,18,0,87.10987173600006,None,,,,,,,19,all_images/3_075a.jpg,LSim,84.09721960600291,None,84.09721960600291,None,84.09721960600291,None,84.09721960600291,None,84.09721960600291,None,None,84.09721960600291,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
19,0,19,0,91.13430498000525,None,,,,,,,20,all_images/2_166a.jpg,LSim,88.12304427300114,None,88.12304427300114,None,88.12304427300114,None,88.12304427300114,None,88.12304427300114,None,None,88.12304427300114,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
20,0,20,0,95.15686852499493,None,,,,,,,21,all_images/F_190a.jpg,LSim,92.14765450899722,None,92.14765450899722,None,92.14765450899722,None,92.14765450899722,None,92.14765450899722,None,None,92.14765450899722,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
21,0,21,0,99.18160599700059,None,,,,,,,22,all_images/D_126a.jpg,LSim,96.16915506799705,None,96.16915506799705,None,96.16915506799705,None,96.16915506799705,None,96.16915506799705,None,None,96.16915506799705,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
22,0,22,0,103.20491052600846,None,,,,,,,23,all_images/2_002a.jpg,LSim,100.19360573300219,None,100.19360573300219,None,100.19360573300219,None,100.19360573300219,None,100.19360573300219,None,None,100.19360573300219,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
23,0,23,0,107.22706250399642,None,,,,,,,24,all_images/2_180a.jpg,HSim,104.21757957800583,None,104.21757957800583,None,104.21757957800583,None,104.21757957800583,None,104.21757957800583,None,None,104.21757957800583,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
24,0,24,0,111.25056006299565,None,,,,,,,25,all_images/5_028a.jpg,HSim,108.23908848200517,None,108.23908848200517,None,108.23908848200517,None,108.23908848200517,None,108.23908848200517,None,None,108.23908848200517,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
25,0,25,0,115.27041296000243,None,,,,,,,26,all_images/1_117a.jpg,HSim,112.26037808100227,None,112.26037808100227,None,112.26037808100227,None,112.26037808100227,None,112.26037808100227,None,None,112.26037808100227,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
26,0,26,0,119.29323537299933,None,,,,,,,27,all_images/2_144a.jpg,HSim,116.28443360100209,None,116.28443360100209,None,116.28443360100209,None,116.28443360100209,None,116.28443360100209,None,None,116.28443360100209,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
27,0,27,0,123.3165006670024,None,,,,,,,28,all_images/3_117a.jpg,HSim,120.30344981700182,None,120.30344981700182,None,120.30344981700182,None,120.30344981700182,None,120.30344981700182,None,None,120.30344981700182,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
