14.0009 	DATA 	Keypress: j
14.0055 	EXP 	study_outdoor_selected: opacity = 1
14.0102 	EXP 	study_outdoor_selected: opacity = 1
14.0148 	EXP 	study_outdoor_selected: opacity = 1
14.0195 	EXP 	study_outdoor_selected: opacity = 1
14.0242 	EXP 	study_outdoor_selected: opacity = 1
14.0288 	EXP 	study_outdoor_selected: opacity = 1
14.0337 	EXP 	study_outdoor_selected: opacity = 1
14.0383 	EXP 	study_outdoor_selected: opacity = 1
14.0430 	EXP 	study_outdoor_selected: opacity = 1
14.0476 	EXP 	study_outdoor_selected: opacity = 1
14.0524 	EXP 	study_outdoor_selected: opacity = 1
14.0570 	EXP 	study_outdoor_selected: opacity = 1
14.0617 	EXP 	study_outdoor_selected: opacity = 1
14.0664 	EXP 	study_outdoor_selected: opacity = 1
14.0712 	EXP 	study_outdoor_selected: opacity = 1
14.0759 	EXP 	study_outdoor_selected: opacity = 1
14.0812 	EXP 	study_outdoor_selected: opacity = 1
14.0860 	EXP 	study_outdoor_selected: opacity = 1
14.0907 	EXP 	study_outdoor_selected: opacity = 1
14.0953 	EXP 	study_outdoor_selected: opacity = 1
14.1001 	EXP 	study_outdoor_selected: opacity = 1
14.1048 	EXP 	study_outdoor_selected: opacity = 1
14.1094 	EXP 	study_outdoor_selected: opacity = 1
14.1141 	EXP 	study_outdoor_selected: opacity = 1
14.1188 	EXP 	study_outdoor_selected: opacity = 1
14.1235 	EXP 	study_outdoor_selected: opacity = 1
14.1282 	EXP 	study_outdoor_selected: opacity = 1
14.1331 	EXP 	study_outdoor_selected: opacity = 1
14.1378 	EXP 	study_outdoor_selected: opacity = 1
14.1425 	EXP 	study_outdoor_selected: opacity = 1
14.1470 	EXP 	study_outdoor_selected: opacity = 1
14.1518 	EXP 	study_outdoor_selected: opacity = 1
14.1565 	EXP 	study_outdoor_selected: opacity = 1
14.1612 	EXP 	study_outdoor_selected: opacity = 1
14.1663 	EXP 	study_outdoor_selected: opacity = 1
14.1711 	EXP 	study_outdoor_selected: opacity = 1
14.1759 	EXP 	study_outdoor_selected: opacity = 1
14.1806 	EXP 	study_outdoor_selected: opacity = 1
14.1854 	EXP 	study_outdoor_selected: opacity = 1
14.1901 	EXP 	study_outdoor_selected: opacity = 1
14.1948 	EXP 	study_outdoor_selected: opacity = 1
14.1997 	EXP 	study_outdoor_selected: opacity = 1
14.2044 	EXP 	study_outdoor_selected: opacity = 1
14.2091 	EXP 	study_outdoor_selected: opacity = 1
14.2137 	EXP 	study_outdoor_selected: opacity = 1
14.2183 	EXP 	study_outdoor_selected: opacity = 1
14.2230 	EXP 	study_outdoor_selected: opacity = 1
14.2277 	EXP 	study_outdoor_selected: opacity = 1
14.2328 	EXP 	study_outdoor_selected: opacity = 1
14.2376 	EXP 	study_outdoor_selected: opacity = 1
14.2423 	EXP 	study_outdoor_selected: opacity = 1
14.2469 	EXP 	study_outdoor_selected: opacity = 1
14.2516 	EXP 	study_outdoor_selected: opacity = 1
14.2563 	EXP 	study_outdoor_selected: opacity = 1
14.2610 	EXP 	study_outdoor_selected: opacity = 1
14.2662 	EXP 	study_outdoor_selected: opacity = 1
14.2710 	EXP 	study_outdoor_selected: opacity = 1
14.2757 	EXP 	study_outdoor_selected: opacity = 1
14.2802 	EXP 	study_outdoor_selected: opacity = 1
14.2849 	EXP 	study_outdoor_selected: opacity = 1
14.2897 	EXP 	study_outdoor_selected: opacity = 1
14.2944 	EXP 	study_outdoor_selected: opacity = 1
14.2997 	EXP 	study_outdoor_selected: opacity = 1
