study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.rt,study_resp.started,study_resp.stopped,text_4.started,text_4.stopped,end_resp.keys,end_resp.started,end_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
17,0,17,0,82.84067374300503,None,,,,,,,18,all_images/5_071a.jpg,HSim,79.82922724800301,None,79.82922724800301,None,79.82922724800301,None,79.82922724800301,None,79.82922724800301,None,f,0.31867098799557425,79.82922724800301,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
18,0,18,0,86.8647863290098,None,,,,,,,19,all_images/4_077a.jpg,LSim,83.85462833700876,None,83.85462833700876,None,83.85462833700876,None,83.85462833700876,None,83.85462833700876,None,None,,83.85462833700876,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
19,0,19,0,90.88924167799996,None,,,,,,,20,all_images/2_024a.jpg,HSim,87.87613490699732,None,87.87613490699732,None,87.87613490699732,None,87.87613490699732,None,87.87613490699732,None,None,,87.87613490699732,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
20,0,20,0,94.91252311501012,None,,,,,,,21,all_images/1_074a.jpg,HSim,91.9003234319971,None,91.9003234319971,None,91.9003234319971,None,91.9003234319971,None,91.9003234319971,None,None,,91.9003234319971,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
21,0,21,0,98.93494798100437,None,,,,,,,22,all_images/3_144a.jpg,LSim,95.92501381800685,None,95.92501381800685,None,95.92501381800685,None,95.92501381800685,None,95.92501381800685,None,j,2.2349105430039344,95.92501381800685,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
22,0,22,0,102.9607302610093,None,,,,,,,23,all_images/3_068a.jpg,LSim,99.94834693000303,None,99.94834693000303,None,99.94834693000303,None,99.94834693000303,None,99.94834693000303,None,None,,99.94834693000303,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
23,0,23,0,106.98488727401127,None,,,,,,,24,all_images/5_119a.jpg,LSim,103.9758023690083,None,103.9758023690083,None,103.9758023690083,None,103.9758023690083,None,103.9758023690083,None,None,,103.9758023690083,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
24,0,24,0,111.00783659100125,None,,,,,,,25,all_images/5_131a.jpg,LSim,107.99462238200067,None,107.99462238200067,None,107.99462238200067,None,107.99462238200067,None,107.99462238200067,None,None,,107.99462238200067,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
25,0,25,0,115.03528296100558,None,,,,,,,26,all_images/4_115a.jpg,LSim,112.02329771200311,None,112.02329771200311,None,112.02329771200311,None,112.02329771200311,None,112.02329771200311,None,None,,112.02329771200311,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
26,0,26,0,119.05823999999848,None,,,,,,,27,all_images/E_146a.jpg,HSim,116.04631559700647,None,116.04631559700647,None,116.04631559700647,None,116.04631559700647,None,116.04631559700647,None,j,0.9775903280096827,116.04631559700647,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
27,0,27,0,123.08173628500663,None,,,,,,,28,all_images/5_016a.jpg,HSim,120.06907624501036,None,120.06907624501036,None,120.06907624501036,None,120.06907624501036,None,120.06907624501036,None,None,,120.06907624501036,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
28,0,28,0,127.10593486900325,None,,,,,,,29,all_images/6_021a.jpg,LSim,124.09425992300385,None,124.09425992300385,None,124.09425992300385,None,124.09425992300385,None,124.09425992300385,None,None,,124.09425992300385,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
29,0,29,0,131.1255640419986,None,,,,,,,30,all_images/1_124a.jpg,LSim,128.11742631300876,None,128.11742631300876,None,128.11742631300876,None,128.11742631300876,None,128.11742631300876,None,None,,128.11742631300876,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
30,0,30,0,135.1502474900044,None,,,,,,,31,all_images/F_027a.jpg,HSim,132.13657936699747,None,132.13657936699747,None,132.13657936699747,None,132.13657936699747,None,132.13657936699747,None,j,1.787337364992709,132.13657936699747,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
