imgA,imgB,rating,condition,session_id
5_188a.jpg,5_188b.jpg,1,Foil,2
3_170a.jpg,3_170b.jpg,1,LSim,4
3_083a.jpg,3_083b.jpg,4,HSim,2
3_026a.jpg,3_026b.jpg,1,Targ,3
E_148a.jpg,E_148b.jpg,4,HSim,2
5_021a.jpg,5_021b.jpg,5,Targ,4
4_025a.jpg,4_025b.jpg,4,Foil,3
2_163a.jpg,2_163b.jpg,3,HSim,3
6_182a.jpg,6_182b.jpg,2,LSim,2
5_146a.jpg,5_146b.jpg,2,Targ,4
3_108a.jpg,3_108b.jpg,1,LSim,1
2_105a.jpg,2_105b.jpg,3,HSim,4
6_091a.jpg,6_091b.jpg,3,Targ,2
1_072a.jpg,1_072b.jpg,3,HSim,5
1_098a.jpg,1_098b.jpg,4,HSim,2
3_146a.jpg,3_146b.jpg,1,LSim,4
3_070a.jpg,3_070b.jpg,2,Targ,4
3_076a.jpg,3_076b.jpg,4,Targ,4
3_086a.jpg,3_086b.jpg,2,LSim,2
F_076a.jpg,F_076b.jpg,5,Targ,3
4_152a.jpg,4_152b.jpg,3,HSim,3
1_165a.jpg,1_165b.jpg,1,LSim,4
1_079a.jpg,1_079b.jpg,1,Targ,1
6_076a.jpg,6_076b.jpg,4,HSim,2
4_176a.jpg,4_176b.jpg,2,LSim,2
5_110a.jpg,5_110b.jpg,5,Foil,3
6_095a.jpg,6_095b.jpg,5,Foil,4
1_181a.jpg,1_181b.jpg,5,Foil,3
1_158a.jpg,1_158b.jpg,4,HSim,3
2_061a.jpg,2_061b.jpg,4,HSim,3
5_071a.jpg,5_071b.jpg,4,HSim,3
4_077a.jpg,4_077b.jpg,2,LSim,1
5_075a.jpg,5_075b.jpg,4,Targ,1
2_024a.jpg,2_024b.jpg,3,HSim,5
1_074a.jpg,1_074b.jpg,4,HSim,1
3_107a.jpg,3_107b.jpg,5,Targ,5
3_144a.jpg,3_144b.jpg,2,LSim,1
3_068a.jpg,3_068b.jpg,1,LSim,2
3_071a.jpg,3_071b.jpg,1,Foil,4
5_119a.jpg,5_119b.jpg,1,LSim,5
1_073a.jpg,1_073b.jpg,2,Foil,3
1_067a.jpg,1_067b.jpg,3,Targ,4
4_042a.jpg,4_042b.jpg,4,Targ,4
5_131a.jpg,5_131b.jpg,1,LSim,5
4_115a.jpg,4_115b.jpg,1,LSim,2
1_111a.jpg,1_111b.jpg,2,Targ,3
C_134a.jpg,C_134b.jpg,3,Targ,1
5_074a.jpg,5_074b.jpg,2,Targ,2
C_023a.jpg,C_023b.jpg,4,Targ,4
E_140a.jpg,E_140b.jpg,4,Targ,1
E_146a.jpg,E_146b.jpg,4,HSim,3
5_079a.jpg,5_079b.jpg,1,Foil,5
5_016a.jpg,5_016b.jpg,3,HSim,1
1_152a.jpg,1_152b.jpg,4,Targ,3
4_067a.jpg,4_067b.jpg,5,Targ,5
2_084a.jpg,2_084b.jpg,3,Targ,1
6_021a.jpg,6_021b.jpg,2,LSim,5
1_124a.jpg,1_124b.jpg,2,LSim,5
2_191a.jpg,2_191b.jpg,5,Targ,2
2_030a.jpg,2_030b.jpg,2,Targ,5
F_027a.jpg,F_027b.jpg,4,HSim,2
3_127a.jpg,3_127b.jpg,4,Targ,5
5_153a.jpg,5_153b.jpg,2,Foil,2
E_135a.jpg,E_135b.jpg,5,Foil,5
5_043a.jpg,5_043b.jpg,1,Targ,1
1_053a.jpg,1_053b.jpg,1,LSim,2
E_174a.jpg,E_174b.jpg,5,Targ,4
1_010a.jpg,1_010b.jpg,1,LSim,3
1_183a.jpg,1_183b.jpg,2,LSim,4
4_078a.jpg,4_078b.jpg,3,Targ,2
C_051a.jpg,C_051b.jpg,3,HSim,5
6_044a.jpg,6_044b.jpg,3,HSim,3
6_185a.jpg,6_185b.jpg,4,Targ,5
1_085a.jpg,1_085b.jpg,1,LSim,2
C_085a.jpg,C_085b.jpg,1,LSim,2
3_091a.jpg,3_091b.jpg,5,Targ,3
1_189a.jpg,1_189b.jpg,5,Targ,5
D_192a.jpg,D_192b.jpg,1,Targ,5
4_049a.jpg,4_049b.jpg,3,Targ,1
5_077a.jpg,5_077b.jpg,3,Targ,2
5_181a.jpg,5_181b.jpg,3,Targ,3
5_129a.jpg,5_129b.jpg,1,LSim,3
E_073a.jpg,E_073b.jpg,3,HSim,3
3_115a.jpg,3_115b.jpg,2,LSim,3
1_001a.jpg,1_001b.jpg,4,Targ,5
F_090a.jpg,F_090b.jpg,4,HSim,4
1_163a.jpg,1_163b.jpg,3,HSim,5
6_001a.jpg,6_001b.jpg,1,LSim,4
3_185a.jpg,3_185b.jpg,1,LSim,5
3_019a.jpg,3_019b.jpg,2,LSim,4
5_085a.jpg,5_085b.jpg,3,HSim,1
E_142a.jpg,E_142b.jpg,2,Targ,4
4_111a.jpg,4_111b.jpg,3,Foil,1
D_129a.jpg,D_129b.jpg,2,LSim,5
1_104a.jpg,1_104b.jpg,1,Targ,3
1_184a.jpg,1_184b.jpg,5,Targ,3
6_130a.jpg,6_130b.jpg,1,LSim,1
3_041a.jpg,3_041b.jpg,4,Targ,1
3_084a.jpg,3_084b.jpg,2,LSim,2
6_129a.jpg,6_129b.jpg,1,LSim,5
6_093a.jpg,6_093b.jpg,1,Targ,3
1_099a.jpg,1_099b.jpg,1,Targ,3
F_093a.jpg,F_093b.jpg,2,LSim,3
