imgA,imgB,rating,condition,session_id
3_066a.jpg,3_066b.jpg,2,Targ,1
E_140a.jpg,E_140b.jpg,4,HSim,2
5_010a.jpg,5_010b.jpg,2,LSim,4
4_108a.jpg,4_108b.jpg,3,HSim,1
1_017a.jpg,1_017b.jpg,3,HSim,3
3_025a.jpg,3_025b.jpg,5,Targ,2
3_179a.jpg,3_179b.jpg,1,Foil,5
4_127a.jpg,4_127b.jpg,4,HSim,4
1_048a.jpg,1_048b.jpg,1,LSim,2
6_068a.jpg,6_068b.jpg,2,LSim,3
2_154a.jpg,2_154b.jpg,1,LSim,3
3_169a.jpg,3_169b.jpg,4,Targ,4
5_167a.jpg,5_167b.jpg,2,Foil,3
E_131a.jpg,E_131b.jpg,4,HSim,2
6_144a.jpg,6_144b.jpg,4,HSim,3
6_182a.jpg,6_182b.jpg,2,Targ,1
5_016a.jpg,5_016b.jpg,3,HSim,1
3_108a.jpg,3_108b.jpg,1,Foil,1
2_156a.jpg,2_156b.jpg,3,HSim,3
D_078a.jpg,D_078b.jpg,2,Targ,1
D_177a.jpg,D_177b.jpg,1,LSim,3
1_024a.jpg,1_024b.jpg,3,HSim,3
5_154a.jpg,5_154b.jpg,2,LSim,3
C_085a.jpg,C_085b.jpg,1,LSim,3
3_002a.jpg,3_002b.jpg,2,Foil,2
2_061a.jpg,2_061b.jpg,4,Targ,1
3_168a.jpg,3_168b.jpg,2,Foil,3
5_019a.jpg,5_019b.jpg,1,LSim,4
2_018a.jpg,2_018b.jpg,3,Targ,4
2_176a.jpg,2_176b.jpg,1,Foil,5
C_037a.jpg,C_037b.jpg,3,HSim,4
3_095a.jpg,3_095b.jpg,4,Targ,4
6_098a.jpg,6_098b.jpg,3,HSim,3
6_158a.jpg,6_158b.jpg,4,HSim,5
2_116a.jpg,2_116b.jpg,1,LSim,1
3_077a.jpg,3_077b.jpg,2,Targ,3
1_113a.jpg,1_113b.jpg,3,HSim,4
2_151a.jpg,2_151b.jpg,4,HSim,3
4_179a.jpg,4_179b.jpg,1,LSim,1
C_190a.jpg,C_190b.jpg,4,HSim,1
2_107a.jpg,2_107b.jpg,1,LSim,5
2_076a.jpg,2_076b.jpg,1,Targ,5
4_073a.jpg,4_073b.jpg,5,Targ,5
3_139a.jpg,3_139b.jpg,5,Targ,5
5_090a.jpg,5_090b.jpg,5,Foil,4
2_122a.jpg,2_122b.jpg,5,Foil,4
6_077a.jpg,6_077b.jpg,3,Targ,3
3_155a.jpg,3_155b.jpg,2,Targ,3
4_149a.jpg,4_149b.jpg,1,Targ,4
6_039a.jpg,6_039b.jpg,2,Targ,5
3_036a.jpg,3_036b.jpg,4,Foil,5
2_041a.jpg,2_041b.jpg,2,Targ,5
4_159a.jpg,4_159b.jpg,2,LSim,2
4_030a.jpg,4_030b.jpg,4,Foil,4
4_132a.jpg,4_132b.jpg,3,Targ,4
E_115a.jpg,E_115b.jpg,5,Targ,2
4_043a.jpg,4_043b.jpg,5,Targ,2
1_001a.jpg,1_001b.jpg,4,Targ,2
2_179a.jpg,2_179b.jpg,3,Targ,2
5_110a.jpg,5_110b.jpg,5,Foil,2
5_128a.jpg,5_128b.jpg,4,Foil,4
5_072a.jpg,5_072b.jpg,4,Foil,1
2_089a.jpg,2_089b.jpg,2,Foil,3
C_165a.jpg,C_165b.jpg,4,HSim,3
4_007a.jpg,4_007b.jpg,1,Targ,4
2_125a.jpg,2_125b.jpg,1,LSim,3
