imgA,imgB,rating,condition,session_id
1_173a.jpg,1_173b.jpg,1,LSim,4
3_079a.jpg,3_079b.jpg,4,HSim,4
2_091a.jpg,2_091b.jpg,3,HSim,1
2_032a.jpg,2_032b.jpg,5,Targ,3
3_132a.jpg,3_132b.jpg,5,Targ,4
5_131a.jpg,5_131b.jpg,1,LSim,5
C_134a.jpg,C_134b.jpg,3,HSim,1
5_171a.jpg,5_171b.jpg,3,HSim,3
2_026a.jpg,2_026b.jpg,5,Foil,4
3_095a.jpg,3_095b.jpg,4,HSim,2
3_081a.jpg,3_081b.jpg,1,Targ,5
2_151a.jpg,2_151b.jpg,4,Targ,5
2_101a.jpg,2_101b.jpg,5,Targ,1
6_010a.jpg,6_010b.jpg,5,Foil,3
4_138a.jpg,4_138b.jpg,4,Foil,1
5_192a.jpg,5_192b.jpg,3,HSim,1
2_120a.jpg,2_120b.jpg,1,Foil,3
3_094a.jpg,3_094b.jpg,1,Foil,5
1_098a.jpg,1_098b.jpg,4,HSim,4
4_106a.jpg,4_106b.jpg,2,LSim,2
2_160a.jpg,2_160b.jpg,1,Targ,2
3_172a.jpg,3_172b.jpg,5,Targ,5
5_137a.jpg,5_137b.jpg,4,HSim,5
1_178a.jpg,1_178b.jpg,4,HSim,4
3_184a.jpg,3_184b.jpg,4,Targ,3
4_047a.jpg,4_047b.jpg,5,Foil,4
5_019a.jpg,5_019b.jpg,1,Foil,2
2_024a.jpg,2_024b.jpg,3,Targ,5
2_070a.jpg,2_070b.jpg,2,LSim,4
C_141a.jpg,C_141b.jpg,2,LSim,2
5_058a.jpg,5_058b.jpg,3,Targ,1
2_137a.jpg,2_137b.jpg,4,Targ,1
2_011a.jpg,2_011b.jpg,2,Foil,3
5_184a.jpg,5_184b.jpg,5,Foil,5
3_186a.jpg,3_186b.jpg,5,Targ,5
C_171a.jpg,C_171b.jpg,4,HSim,1
4_127a.jpg,4_127b.jpg,4,Targ,5
3_087a.jpg,3_087b.jpg,3,HSim,5
4_027a.jpg,4_027b.jpg,4,Foil,1
2_068a.jpg,2_068b.jpg,4,HSim,5
6_154a.jpg,6_154b.jpg,3,Targ,2
4_002a.jpg,4_002b.jpg,2,LSim,2
1_184a.jpg,1_184b.jpg,5,Foil,2
4_181a.jpg,4_181b.jpg,3,HSim,5
1_115a.jpg,1_115b.jpg,1,Foil,2
6_126a.jpg,6_126b.jpg,2,Targ,3
1_016a.jpg,1_016b.jpg,2,LSim,4
4_125a.jpg,4_125b.jpg,1,Targ,2
4_004a.jpg,4_004b.jpg,1,LSim,5
6_034a.jpg,6_034b.jpg,2,Targ,2
1_033a.jpg,1_033b.jpg,2,LSim,4
3_002a.jpg,3_002b.jpg,2,LSim,5
4_128a.jpg,4_128b.jpg,3,Foil,3
D_029a.jpg,D_029b.jpg,3,Foil,3
5_048a.jpg,5_048b.jpg,3,HSim,4
1_092a.jpg,1_092b.jpg,3,Targ,3
5_119a.jpg,5_119b.jpg,1,Targ,4
1_068a.jpg,1_068b.jpg,2,Targ,4
4_083a.jpg,4_083b.jpg,4,Targ,5
2_082a.jpg,2_082b.jpg,3,HSim,5
1_018a.jpg,1_018b.jpg,5,Targ,5
4_013a.jpg,4_013b.jpg,1,LSim,2
1_082a.jpg,1_082b.jpg,4,HSim,4
3_030a.jpg,3_030b.jpg,4,Foil,3
1_039a.jpg,1_039b.jpg,4,Targ,1
1_133a.jpg,1_133b.jpg,5,Targ,4
6_180a.jpg,6_180b.jpg,2,LSim,5
4_171a.jpg,4_171b.jpg,5,Targ,2
1_137a.jpg,1_137b.jpg,2,LSim,3
6_129a.jpg,6_129b.jpg,1,Foil,5
2_034a.jpg,2_034b.jpg,3,Targ,4
1_165a.jpg,1_165b.jpg,1,Foil,5
4_068a.jpg,4_068b.jpg,3,HSim,4
1_100a.jpg,1_100b.jpg,1,LSim,1
2_135a.jpg,2_135b.jpg,2,Targ,4
6_166a.jpg,6_166b.jpg,1,LSim,5
2_009a.jpg,2_009b.jpg,4,Foil,5
1_154a.jpg,1_154b.jpg,4,HSim,4
5_081a.jpg,5_081b.jpg,1,LSim,3
E_059a.jpg,E_059b.jpg,1,Targ,5
6_184a.jpg,6_184b.jpg,5,Targ,3
1_128a.jpg,1_128b.jpg,2,Foil,4
5_114a.jpg,5_114b.jpg,3,Targ,5
2_045a.jpg,2_045b.jpg,1,LSim,5
4_157a.jpg,4_157b.jpg,1,Foil,2
1_180a.jpg,1_180b.jpg,3,HSim,3
F_081a.jpg,F_081b.jpg,2,Targ,3
5_089a.jpg,5_089b.jpg,1,Targ,2
D_061a.jpg,D_061b.jpg,1,LSim,3
D_170a.jpg,D_170b.jpg,4,Targ,5
6_012a.jpg,6_012b.jpg,1,Foil,4
D_092a.jpg,D_092b.jpg,5,Foil,3
5_052a.jpg,5_052b.jpg,4,Targ,2
C_131a.jpg,C_131b.jpg,2,Foil,2
3_058a.jpg,3_058b.jpg,1,LSim,2
D_180a.jpg,D_180b.jpg,1,Targ,4
C_060a.jpg,C_060b.jpg,5,Targ,1
4_105a.jpg,4_105b.jpg,3,HSim,4
2_075a.jpg,2_075b.jpg,3,Foil,3
1_172a.jpg,1_172b.jpg,5,Targ,4
D_146a.jpg,D_146b.jpg,3,Targ,1
6_152a.jpg,6_152b.jpg,2,Targ,3
E_041a.jpg,E_041b.jpg,1,LSim,4
F_001a.jpg,F_001b.jpg,4,HSim,3
5_106a.jpg,5_106b.jpg,4,Targ,3
D_025a.jpg,D_025b.jpg,4,Foil,1
D_006a.jpg,D_006b.jpg,4,Targ,1
5_173a.jpg,5_173b.jpg,5,Targ,3
3_127a.jpg,3_127b.jpg,4,HSim,2
6_137a.jpg,6_137b.jpg,2,Targ,3
6_150a.jpg,6_150b.jpg,1,LSim,1
5_066a.jpg,5_066b.jpg,3,HSim,2
6_081a.jpg,6_081b.jpg,2,Targ,4
3_170a.jpg,3_170b.jpg,1,LSim,3
C_176a.jpg,C_176b.jpg,2,LSim,5
3_168a.jpg,3_168b.jpg,2,Targ,4
2_078a.jpg,2_078b.jpg,3,Foil,5
3_120a.jpg,3_120b.jpg,4,HSim,2
5_152a.jpg,5_152b.jpg,3,HSim,3
F_069a.jpg,F_069b.jpg,3,HSim,1
3_097a.jpg,3_097b.jpg,1,LSim,5
5_183a.jpg,5_183b.jpg,5,Foil,5
2_153a.jpg,2_153b.jpg,1,Targ,1
6_163a.jpg,6_163b.jpg,4,HSim,4
5_041a.jpg,5_041b.jpg,5,Targ,1
6_001a.jpg,6_001b.jpg,1,LSim,3
E_033a.jpg,E_033b.jpg,3,HSim,5
4_144a.jpg,4_144b.jpg,4,Foil,1
3_078a.jpg,3_078b.jpg,1,Targ,4
2_039a.jpg,2_039b.jpg,4,Targ,2
6_132a.jpg,6_132b.jpg,5,Foil,5
C_039a.jpg,C_039b.jpg,5,Targ,4
2_071a.jpg,2_071b.jpg,1,Targ,1
5_144a.jpg,5_144b.jpg,3,HSim,5
1_163a.jpg,1_163b.jpg,3,HSim,5
3_073a.jpg,3_073b.jpg,1,LSim,3
5_043a.jpg,5_043b.jpg,1,LSim,1
4_048a.jpg,4_048b.jpg,4,Targ,4
6_031a.jpg,6_031b.jpg,1,LSim,4
6_097a.jpg,6_097b.jpg,5,Targ,1
C_074a.jpg,C_074b.jpg,3,Targ,3
5_038a.jpg,5_038b.jpg,4,HSim,5
3_069a.jpg,3_069b.jpg,2,Targ,1
3_102a.jpg,3_102b.jpg,3,Targ,5
3_055a.jpg,3_055b.jpg,4,HSim,5
3_180a.jpg,3_180b.jpg,3,Targ,5
3_119a.jpg,3_119b.jpg,2,Targ,1
6_120a.jpg,6_120b.jpg,2,LSim,2
2_187a.jpg,2_187b.jpg,4,HSim,2
E_139a.jpg,E_139b.jpg,3,Targ,1
4_174a.jpg,4_174b.jpg,5,Foil,3
6_106a.jpg,6_106b.jpg,5,Targ,3
3_150a.jpg,3_150b.jpg,4,Targ,5
1_170a.jpg,1_170b.jpg,5,Foil,1
1_111a.jpg,1_111b.jpg,2,LSim,1
6_187a.jpg,6_187b.jpg,3,Targ,1
C_049a.jpg,C_049b.jpg,2,Targ,4
5_060a.jpg,5_060b.jpg,5,Foil,5
1_187a.jpg,1_187b.jpg,2,LSim,4
2_013a.jpg,2_013b.jpg,1,Targ,5
3_103a.jpg,3_103b.jpg,2,LSim,5
5_085a.jpg,5_085b.jpg,3,Foil,5
3_117a.jpg,3_117b.jpg,4,HSim,1
5_047a.jpg,5_047b.jpg,4,HSim,1
5_186a.jpg,5_186b.jpg,3,Targ,5
3_039a.jpg,3_039b.jpg,3,Foil,3
5_136a.jpg,5_136b.jpg,2,Targ,1
2_066a.jpg,2_066b.jpg,1,LSim,2
4_030a.jpg,4_030b.jpg,4,HSim,5
5_029a.jpg,5_029b.jpg,4,Targ,1
3_190a.jpg,3_190b.jpg,2,LSim,3
1_153a.jpg,1_153b.jpg,4,Foil,2
5_109a.jpg,5_109b.jpg,2,Foil,1
2_001a.jpg,2_001b.jpg,5,Targ,3
2_076a.jpg,2_076b.jpg,1,LSim,2
2_073a.jpg,2_073b.jpg,1,Targ,3
1_186a.jpg,1_186b.jpg,2,Foil,2
3_064a.jpg,3_064b.jpg,3,Foil,2
6_022a.jpg,6_022b.jpg,4,Foil,4
3_179a.jpg,3_179b.jpg,1,LSim,1
1_015a.jpg,1_015b.jpg,1,LSim,1
2_132a.jpg,2_132b.jpg,2,Targ,2
D_151a.jpg,D_151b.jpg,5,Targ,2
3_056a.jpg,3_056b.jpg,3,HSim,2
1_023a.jpg,1_023b.jpg,4,Targ,3
2_162a.jpg,2_162b.jpg,5,Foil,4
6_039a.jpg,6_039b.jpg,2,LSim,5
4_097a.jpg,4_097b.jpg,2,Foil,4
4_155a.jpg,4_155b.jpg,1,LSim,1
2_156a.jpg,2_156b.jpg,3,HSim,3
3_045a.jpg,3_045b.jpg,4,HSim,4
